Feature,Importance
levy -,5877.394388786139
gear box_type_Automatic,5292.957757750187
fuel type_Diesel,4818.628342059361
gear box_type_Tiptronic,4692.548076448432
model Santa FE,3694.3468335194493
manufacturer SSANGYONG,3339.28408561342
manufacturer HYUNDAI,3215.885140407477
fuel type_Hybrid,3120.125580173454
airbags,2868.413769402983
fuel type_LPG,2485.0486738700743
category Sedan,2474.8755227451375
levy 891,2009.1949122085405
prod_year,1987.343768807194
car_age,1987.242960520196
mileage 0 km,1958.1110652883892
model X5,1956.4804171602714
model Actyon,1855.3598470930622
model Sonata,1820.104188581098
levy 1811,1756.0683294429953
category Hatchback,1721.208634597152
model REXTON,1707.3422994358411
model Civic,1597.4170619455751
manufacturer NISSAN,1587.5832276097722
category Jeep,1580.5859686896904
manufacturer AUDI,1558.3774839678035
drive wheels_4x4,1497.6879546080372
category Universal,1400.3196276176307
manufacturer SUBARU,1396.75153712673
color Orange,1323.9408415261746
engine_volume,1302.8642163976958
model Aqua,1285.0157193977857
levy 730,1281.5651242667177
model H1,1249.6027409138708
model Juke,1215.7291854131158
id,1214.6689077420267
manufacturer CHEVROLET,1172.6256470027533
model Fusion,1138.2824965649554
levy 1646,1062.7467116618834
manufacturer FORD,1060.3885626591598
manufacturer VOLKSWAGEN,1052.632592097539
model Forester,1048.567757050431
drive wheels_Front,1047.9945025712004
model Camry,1017.6242371376878
levy 1017,1015.6313410526046
levy 765,990.9946335072807
model Highlander,982.2941998288204
manufacturer TOYOTA,981.7333239105554
levy 753,968.5884453321707
levy 1091,943.1636558025955
model Tucson,914.0297905151525
manufacturer HONDA,912.613852234979
model Volt,890.7563360606
mileage 102907 km,889.2989486911858
levy 2225,887.8757516615835
levy 1493,886.4908029397868
model E 350,831.8817845172196
color Red,776.7802085022213
manufacturer JEEP,768.5858389847261
model Jetta,755.4864752755958
levy 2455,752.6665911105349
mileage 155821 km,740.9743912104334
category Minivan,725.8129405651632
levy 1079,718.2811236808712
levy 1104,714.5467328630202
levy 862,698.4877845632236
mileage 229334 km,696.7428859828237
model CT 200h,685.4784705684083
levy 259,661.7155495265887
manufacturer MAZDA,653.1664789128286
manufacturer BMW,649.8345862526112
color Black,643.1480309973091
model ML 350,639.677267490587
model Cruze,639.4415049267692
mileage 50963 km,628.0888235951104
model Impala,623.9091686378614
levy 751,621.3881978613596
mileage 202651 km,619.7501459538639
levy 880,613.7550740762277
color Grey,613.555453971201
model Escape,609.6065791061405
model 535,608.1848280200977
model Insight,601.9685467368338
mileage 260771 km,601.6438076818079
mileage 255406 km,593.9391038053884
model Accent,591.3644462442819
gear box_type_Variator,589.5129145108504
levy 831,584.7931917682854
manufacturer KIA,583.4945440973191
levy 781,582.1519546613357
mileage 69918 km,573.1123729843601
levy 784,569.6078966285454
levy 585,555.2346429521828
levy 915,552.93440616761
levy 607,551.1113232575796
levy 1024,549.8869573030229
levy 971,542.9447310697763
model Q7,538.9601327976186
levy 934,527.7527654958616
mileage 26802 km,527.1485935699757
levy 1363,524.746934858197
model Genesis,513.3414633820746
model Compass,503.09457803536174
color White,497.873077111824
levy 640,489.6892733417804
cylinders,482.02764666972377
levy 583,480.6372306522298
levy 353,471.5637320544038
model Corolla,470.16486579267496
levy 382,468.1394167015212
mileage 219030 km,459.53868464152856
levy 707,451.4011451303277
drive wheels_Rear,448.69285890696125
mileage 90000 km,444.029152999978
model C 250,438.15744235838184
